cliente,vendedor,unidade,mes,produto,status,marca,tipo_pagamento,tipo_frete,prazo,valor_total
Beatriz Ramos,Sr. Luiz Miguel Castro,Brito,2025-06,Adubo Premium 250ml,Entregue,NovaTech,Pagamento à vista,CIF,até 30,"8133,972"
Agatha Jesus,Asafe Azevedo,Vieira de Goiás,2025-09,Farinha Refinado 500g,Entregue,SkyMarket,Pagamento parcelado,CIF,de 61 à 120,"13653,8"
Sr. Davi Miguel Campos,Evelyn Peixoto,Macedo,2025-07,Produto Orgânico Fortificado 1L,Entregue,BioVida,Prazo,CIF,mais que 180,"5118,417"
Theodoro Azevedo,Gabrielly Rocha,Vieira da Mata,2025-09,Açúcar Premium 500g,A Entregar,VittaMais,Pagamento à vista,CIF,até 30,"1771,76"
Vitor Hugo Alves,Danilo Pires,Aparecida,2025-07,Ração Especial 20kg,Entregue,BlueFarm,Crédito Rural,CIF,de 31 à 60,"15418,098"
Theo Siqueira,Dr. Gustavo Henrique Gomes,Casa Grande,2025-07,Óleo Vegetal Integral 1L,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"9503,758"
Igor Porto,Ana Vitória Peixoto,Moura do Norte,2025-07,Ração Natural 1L,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"10919,291"
Mariah Silveira,Maria Eduarda Peixoto,Alves das Pedras,2025-07,Soja Extra 20kg,Entregue,VittaMais,Crédito Rural,CIF,de 31 à 60,"30021,487"
Sr. Calebe Machado,Maria Vitória Vieira,da Cunha de Cunha,2025-07,Açúcar Fortificado 10kg,Entregue,VittaMais,Pagamento à vista,CIF,até 30,"7049,542"
Liz Mendonça,Rafaela Marques,Gonçalves do Sul,2025-06,Produto Orgânico Select 500g,Entregue,TerraForte,Prazo,FOB,mais que 180,"4949,678"
Nina Dias,Eduarda da Rocha,da Mota,2025-07,Farinha Tradicional 250ml,Entregue,BlueFarm,Prazo,CIF,de 61 à 120,"9238,462"
Ian Aparecida,Gustavo Duarte,Novais do Campo,2025-07,Fertilizante Natural 500g,Entregue,EcoLine,Prazo,CIF,de 121 à 180,"2737,322"
Ana Sophia Rodrigues,Stella Ribeiro,Freitas da Serra,2025-07,Semente Premium 25kg,Entregue,TerraForte,Prazo,CIF,mais que 180,"20229,936"
Yago Dias,Yuri Camargo,Porto,2025-07,Produto Orgânico Natural 5L,Entregue,BioVida,Prazo,CIF,de 61 à 120,"1344,288"
Rhavi Moraes,Vicente da Conceição,Castro,2025-07,Arroz Natural 5L,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"3363,531"
Ana Liz Moura,Nina Moraes,Brito da Praia,2025-07,Semente Premium 1L,Entregue,TerraForte,Crédito Rural,FOB,de 31 à 60,"1597,396"
Eloah Pereira,Esther Caldeira,Cavalcante,2025-07,Óleo Vegetal Refinado 5L,Entregue,PrimeFood,Pagamento à vista,CIF,até 30,"10236,835"
Srta. Valentina Sá,Lucas Gabriel da Luz,Lopes,2025-07,Suplemento Premium 5L,Entregue,EcoLine,Pagamento à vista,CIF,até 30,"4987,176"
Ana Julia Machado,Ágatha Teixeira,Monteiro de Costa,2025-07,Farinha Tradicional 1L,Entregue,VittaMais,Prazo,CIF,de 31 à 60,"3937,244"
Ana Carolina Cunha,Apollo Pires,da Cunha,2025-07,Óleo Vegetal Natural 25kg,Entregue,SmartAgro,Prazo,CIF,mais que 180,"9759,21"
Vinicius da Mota,Otto Mendes,Rezende,2025-07,Soja Premium 10kg,Entregue,EcoLine,Prazo,CIF,mais que 180,"2699,356"
Lívia da Mota,Emanuella Cunha,Macedo,2025-07,Soja Especial 25kg,Entregue,BlueFarm,Crédito Rural,CIF,de 31 à 60,"10274,332"
Benício Cunha,Dr. Vinícius Rocha,Fernandes de Casa Grande,2025-07,Inseticida Integral 500g,A Entregar,VittaMais,Prazo,CIF,mais que 180,"3843,875"
Maria Fernanda da Cunha,Sr. Gael Henrique Ferreira,Fernandes de Minas,2025-04,Ração Refinado 20kg,Entregue,TerraForte,Prazo,CIF,de 121 à 180,"4844,685"
Jade Leão,Eduarda Sousa,da Mota do Oeste,2025-07,Adubo Natural 20kg,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"8286,514"
Natália Santos,Alice Ramos,Pinto do Sul,2025-07,Ração Premium 1L,Entregue,BioVida,Prazo,CIF,de 31 à 60,"10499,318"
Maria Luísa Machado,Luiz Fernando Fogaça,da Cunha de Duarte,2025-07,Adubo Premium 500g,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"17323,874"
Hadassa Gomes,Maria Luísa Novaes,Ferreira da Praia,2025-07,Farinha Premium 20kg,Entregue,PrimeFood,Prazo,CIF,de 61 à 120,"9770,928"
Gabriela Vieira,Nicole Aragão,Ribeiro de Nunes,2025-04,Fertilizante Refinado 10kg,Entregue,SmartAgro,Prazo,CIF,de 121 à 180,"4687,195"
Carolina Correia,Augusto Mendes,Moreira,2025-04,Inseticida Integral 25kg,Entregue,SmartAgro,Prazo,CIF,de 121 à 180,"32397,895"
Henry Gabriel Moraes,Rael Pastor,Castro,2025-07,Semente Fortificado 5L,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"55308,907"
Cauã Dias,Agatha da Mota,Nunes de Rodrigues,2025-07,Açúcar Tradicional 5L,Entregue,BioVida,Pagamento parcelado,CIF,até 30,"4484,709"
Alícia Brito,Alice Almeida,da Mata,2025-07,Feijão Integral 20kg,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"9899,357"
Vitória Castro,Alícia Guerra,Casa Grande dos Dourados,2025-07,Café Select 25kg,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"7424,518"
Ágatha Cavalcanti,Maria Clara da Mata,Martins,2025-07,Suplemento Extra 20kg,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"7919,485"
Théo Nunes,Manuella Rocha,Mendonça,2025-07,Arroz Orgânico 20kg,A Entregar,BioVida,Prazo,CIF,de 31 à 60,"12561,684"
Ana Julia Casa Grande,Sra. Maria Luiza da Mata,da Paz Paulista,2025-07,Milho Tradicional 1L,A Entregar,EcoLine,Crédito Rural,CIF,de 31 à 60,"4484,709"
Evelyn Ferreira,Gabrielly Pinto,Araújo de Mendonça,2025-05,Ração Refinado 25kg,A Entregar,AgroPlus,Prazo,CIF,mais que 180,"12374,196"
Gael Henrique Nunes,Ayla Cirino,Montenegro,2025-07,Fertilizante Tradicional 1L,Entregue,BioVida,Prazo,CIF,de 31 à 60,"4330,969"
João Vitor Fonseca,Srta. Lívia Abreu,Almeida,2025-09,Semente Extra 250ml,Entregue,VittaMais,Pagamento parcelado,CIF,de 61 à 120,"18655,038"
Calebe Fogaça,Maya Brito,Lima,2025-07,Café Orgânico 250ml,Entregue,BlueFarm,Crédito Rural,CIF,de 31 à 60,"1889,877"
Gabriela Rodrigues,José Vieira,Câmara de Pacheco,2025-07,Açúcar Natural 5L,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"9599,376"
Leonardo da Mota,Arthur Fonseca,Sá de da Cunha,2025-07,Café Extra 250ml,Entregue,BioVida,Prazo,CIF,de 31 à 60,"28798,129"
Bryan da Rocha,Ayla da Mota,Sampaio da Mata,2025-07,Inseticida Select 1L,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"13724,108"
Srta. Jade Vasconcelos,Bella Farias,Pires Paulista,2025-07,Semente Premium 250ml,Entregue,SmartAgro,Prazo,CIF,de 31 à 60,"40632,36"
Bernardo Casa Grande,Gabrielly Pinto,Mendes de Minas,2025-07,Suplemento Orgânico 500g,Entregue,NovaTech,Prazo,CIF,mais que 180,"2530,148"
Maria Helena Pires,Brenda Dias,Ramos de Cavalcante,2025-07,Produto Orgânico Refinado 500g,Entregue,BlueFarm,Prazo,CIF,mais que 180,"20034,011"
Maria Helena da Cruz,Maria Câmara,da Cruz do Amparo,2025-07,Feijão Especial 25kg,Entregue,PrimeFood,Prazo,CIF,mais que 180,"4006,802"
Murilo Marques,João Felipe Campos,Silveira,2025-07,Farinha Extra 20kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"3542,207"
Leandro Aparecida,Sr. Davi Miguel Albuquerque,Carvalho,2025-07,Semente Select 1kg,Entregue,EcoLine,Prazo,CIF,mais que 180,"8013,604"
Ana Laura Fonseca,Juan Abreu,Sousa de Minas,2025-07,Ração Select 250ml,Entregue,VittaMais,Prazo,CIF,mais que 180,"7084,415"
Dr. Luigi Pires,Melina Leão,Costa,2025-07,Inseticida Natural 1L,A Entregar,VittaMais,Prazo,FOB,de 121 à 180,"15748,977"
Murilo Rocha,Sara Silveira,Fernandes da Praia,2025-07,Herbicida Premium 250ml,Entregue,VittaMais,Crédito Rural,CIF,de 31 à 60,"2275,727"
Calebe Oliveira,Maria Liz Sá,Souza,2025-07,Herbicida Tradicional 500g,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"2126,112"
Lavínia Macedo,Ana Luiza Souza,Viana Alegre,2025-07,Óleo Vegetal Select 1kg,Entregue,SkyMarket,Crédito Rural,CIF,de 31 à 60,"8286,962"
Caio Moraes,Isabelly da Luz,Pinto,2025-07,Ração Extra 250ml,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"7874,488"
Rhavi Machado,João Guilherme Moura,das Neves,2025-07,Café Select 250ml,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"10683,056"
Gabriela Correia,Dra. Sarah Sá,Monteiro,2025-07,Suplemento Refinado 1kg,Entregue,NovaTech,Pagamento à vista,CIF,até 30,"48559,345"
Maria Clara da Mata,Nicole Abreu,Cirino,2025-07,Ração Refinado 1L,Entregue,VittaMais,Pagamento à vista,CIF,até 30,"1776,447"
Rafael Pacheco,Manuela Aparecida,Pires da Prata,2025-07,Farinha Extra 5L,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"28712,916"
Alice Nogueira,Lunna Albuquerque,Castro de Silva,2025-07,Adubo Extra 1kg,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"5888,805"
Ísis Sá,Heitor Farias,Montenegro,2025-07,Óleo Vegetal Refinado 10kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"5418,398"
Mirella Pinto,Kamilly Sousa,Lima,2025-07,Óleo Vegetal Integral 25kg,Entregue,AgroPlus,Prazo,CIF,de 121 à 180,"65620,737"
Ana Julia Rios,Calebe Sousa,Brito,2025-07,Café Natural 500g,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"7007,357"
Amanda Aparecida,Ayla Montenegro,Ribeiro,2025-09,Adubo Select 250ml,Entregue,NovaTech,Prazo,CIF,mais que 180,"1958,498"
Alice Cavalcanti,Mateus Aparecida,Pacheco,2025-07,Adubo Orgânico 25kg,Entregue,SmartAgro,Crédito Rural,CIF,de 31 à 60,"5996,985"
Lorena Alves,Maria Sophia Alves,Duarte de Melo,2025-07,Herbicida Orgânico 1L,Entregue,PrimeFood,Crédito Rural,CIF,de 31 à 60,"6663,317"
Davi Miguel Santos,Leonardo Sampaio,Aragão de Campos,2025-07,Óleo Vegetal Tradicional 25kg,Entregue,TerraForte,Pagamento à vista,CIF,até 30,"2821,692"
Mathias Carvalho,Dra. Lívia Teixeira,Ramos,2025-07,Farinha Premium 1L,Entregue,SkyMarket,Pagamento parcelado,CIF,de 61 à 120,"1444,359"
Rafaela Moura,Olivia Montenegro,Azevedo do Norte,2025-07,Herbicida Especial 1L,Entregue,PrimeFood,Pagamento parcelado,CIF,de 61 à 120,"6862,054"
Srta. Ana Luiza Cassiano,Natália Casa Grande,Araújo,2025-05,Adubo Premium 1L,Entregue,SmartAgro,Prazo,CIF,mais que 180,"2432,092"
João Miguel Albuquerque,Dra. Emanuella Fernandes,Sá,2025-07,Farinha Fortificado 20kg,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"13724,108"
Pedro da Rosa,Bella Sousa,Vargas,2025-07,Óleo Vegetal Natural 5L,Entregue,VittaMais,Prazo,CIF,até 30,"35716,43"
Sr. Valentim Carvalho,Anna Liz Silveira,da Cunha,2025-07,Ração Natural 1L,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"4994,675"
Vitor Mendes,Enzo Gabriel Vieira,Araújo do Galho,2025-07,Produto Orgânico Select 20kg,Entregue,BlueFarm,Prazo,CIF,até 30,"6648,693"
Emilly Sousa,Sr. André Nascimento,da Rosa,2025-07,Café Especial 1L,Entregue,VittaMais,Prazo,CIF,de 31 à 60,"3084,175"
Igor Silva,Olívia Santos,Brito,2025-07,Arroz Natural 1kg,Entregue,AgroPlus,Prazo,CIF,de 31 à 60,"25310,856"
Ana Julia Garcia,Marcos Vinicius Abreu,da Costa das Pedras,2025-07,Herbicida Select 20kg,Entregue,BioVida,Crédito Rural,CIF,de 31 à 60,"46647,907"
Pedro Henrique da Luz,Srta. Maria Alice Abreu,Siqueira,2025-07,Herbicida Extra 20kg,Entregue,EcoLine,Pagamento à vista,CIF,até 30,"3609,141"
Daniela Alves,Dr. Gustavo Viana,Teixeira,2025-07,Arroz Select 10kg,Entregue,AgroPlus,Pagamento parcelado,CIF,de 61 à 120,"3431,027"
Laís Rios,Samuel Rios,Albuquerque do Sul,2025-07,Produto Orgânico Orgânico 500g,Entregue,NovaTech,Prazo,CIF,mais que 180,"6955,798"
Alícia Campos,Guilherme Câmara,Casa Grande,2025-07,Soja Tradicional 20kg,Entregue,VittaMais,Pagamento parcelado,CIF,de 61 à 120,"8088,412"
Zoe Oliveira,Sra. Maria Sophia Duarte,Peixoto,2025-07,Inseticida Select 500g,Entregue,PrimeFood,Pagamento parcelado,CIF,de 61 à 120,"6862,054"
Dra. Eloá Moraes,Luiz Felipe Aparecida,Sousa de Melo,2025-07,Arroz Integral 500g,Entregue,SmartAgro,Pagamento parcelado,CIF,de 61 à 120,"3145,108"
Otávio Alves,Melina Duarte,Gonçalves,2025-07,Açúcar Refinado 20kg,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"8436,952"
Ravy Sampaio,Dra. Fernanda Viana,Mendes,2025-07,Farinha Fortificado 10kg,Entregue,BlueFarm,Pagamento parcelado,CIF,de 61 à 120,"4332,375"
Henrique da Mata,João Felipe Andrade,Guerra,2025-07,Inseticida Extra 25kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"57793,12"
Isabel da Mota,Luara Costela,Cavalcante,2025-07,Semente Refinado 10kg,Entregue,NovaTech,Prazo,CIF,mais que 180,"20248,684"
Maria Isis Cardoso,Caio Viana,Porto,2025-07,Café Especial 500g,Entregue,VittaMais,Pagamento parcelado,CIF,de 61 à 120,"6932,925"
Kamilly Carvalho,Ana Júlia da Rosa,Nunes do Campo,2025-07,Adubo Extra 500g,Entregue,EcoLine,Pagamento parcelado,CIF,de 61 à 120,"21954,261"
Bruno da Luz,Antonella Teixeira,Cunha,2025-07,Açúcar Refinado 5L,Entregue,SkyMarket,Pagamento parcelado,CIF,de 61 à 120,"3431,027"
Lucas Gabriel Jesus,Manuella Oliveira,Moraes Verde,2025-07,Ração Orgânico 250ml,Entregue,TerraForte,Pagamento parcelado,CIF,de 61 à 120,"1349,912"
Evelyn Albuquerque,Marcela Costela,Pinto,2025-07,Café Integral 500g,Entregue,PrimeFood,Pagamento parcelado,CIF,de 61 à 120,"8863,487"
Lucas Albuquerque,Isabela Cassiano,Aparecida,2025-07,Herbicida Natural 10kg,Entregue,NovaTech,Pagamento parcelado,CIF,de 61 à 120,"1619,895"
Nathan Castro,Dr. Ryan Barros,Campos do Sul,2025-07,Açúcar Tradicional 5L,Entregue,BlueFarm,Pagamento parcelado,CIF,de 61 à 120,"17332,311"
Daniela Cavalcanti,João Pedro Fernandes,Viana,2025-07,Adubo Tradicional 1L,Entregue,EcoLine,Pagamento parcelado,CIF,de 61 à 120,"13865,849"
Camila Andrade,João Miguel Duarte,Abreu das Pedras,2025-07,Arroz Select 10kg,Entregue,BioVida,Pagamento parcelado,CIF,de 61 à 120,"18505,048"
Luiz Fernando Pereira,Agatha Fonseca,Cassiano do Sul,2025-07,Fertilizante Especial 500g,Entregue,NovaTech,Pagamento à vista,CIF,até 30,"14072,836"
Ágatha da Rosa,Leonardo Nogueira,Abreu,2025-07,Ração Natural 25kg,Entregue,EcoLine,Pagamento à vista,CIF,até 30,"23454,726"
Sr. Cauã Fogaça,Henry Gabriel Cardoso,Guerra,2025-07,Adubo Orgânico 500g,Entregue,EcoLine,Crédito Rural,CIF,de 31 à 60,"7758,621"
Dra. Natália Aparecida,Eloah Marques,Gomes,2025-07,Feijão Integral 20kg,Entregue,VittaMais,Prazo,CIF,até 30,"129366,595"
Esther Pereira,Rafael Duarte,Novaes de Nascimento,2025-07,Óleo Vegetal Select 5L,Entregue,SkyMarket,Prazo,FOB,de 31 à 60,"879,468"
Clarice Aparecida,Dra. Ana Vitória Marques,Melo Grande,2025-07,Farinha Orgânico 20kg,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"134006,919"
Isadora da Luz,Daniel Siqueira,Oliveira,2025-07,Adubo Orgânico 1kg,Entregue,BioVida,Prazo,CIF,de 31 à 60,"91906,529"
Bruno Abreu,Pedro Miguel Caldeira,Alves Verde,2025-07,Ração Premium 25kg,Entregue,PrimeFood,Prazo,CIF,até 30,"7874,488"
Eduarda Dias,Murilo Andrade,da Mata,2025-07,Suplemento Orgânico 1L,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"15478,994"
Anna Liz Camargo,Maria Fernanda Camargo,Andrade,2025-07,Produto Orgânico Especial 500g,Entregue,PrimeFood,Prazo,CIF,mais que 180,"19404,989"
Bento Melo,Clarice Sampaio,Fogaça de Goiás,2025-07,Soja Natural 20kg,Entregue,VittaMais,Crédito Rural,CIF,de 31 à 60,"8084,475"
Diogo da Luz,Clarice Silveira,Castro,2025-07,Feijão Select 250ml,Entregue,BioVida,Prazo,CIF,de 31 à 60,"7087,04"
Ayla Sampaio,Joana Rocha,Alves,2025-07,Suplemento Tradicional 1L,Entregue,VittaMais,Prazo,CIF,mais que 180,"2224,712"
Gabrielly Caldeira,Luara Sampaio,Garcia,2025-07,Açúcar Extra 20kg,Entregue,EcoLine,Prazo,CIF,até 30,"9533,756"
Allana Costa,José Miguel das Neves,Jesus das Flores,2025-07,Arroz Tradicional 5L,Entregue,PrimeFood,Prazo,CIF,até 30,"17973,52"
Maria Julia Casa Grande,Aurora Barros,Jesus do Galho,2025-07,Milho Natural 10kg,Entregue,SmartAgro,Prazo,CIF,até 30,"9373,266"
Miguel Gomes,Mathias Novaes,Garcia da Prata,2025-07,Milho Refinado 25kg,Entregue,BlueFarm,Prazo,CIF,até 30,"8216,466"
Maria Júlia Pereira,João Vitor da Luz,Freitas da Serra,2025-07,Herbicida Especial 250ml,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"7589,507"
Davi Miguel Novais,Isis Aragão,Cassiano do Oeste,2025-07,Semente Fortificado 20kg,Entregue,AgroPlus,Prazo,CIF,até 30,"7271,223"
Oliver Ribeiro,Ana Sophia Costa,Vasconcelos de da Cruz,2025-07,Soja Select 20kg,Entregue,TerraForte,Crédito Rural,CIF,de 31 à 60,"5399,649"
João Gabriel Nunes,Larissa das Neves,Caldeira da Prata,2025-07,Farinha Integral 250ml,Entregue,PrimeFood,Prazo,CIF,mais que 180,"24133,995"
Júlia Lopes,Miguel Pinto,Gomes de Fonseca,2025-07,Inseticida Extra 10kg,Entregue,BioVida,Prazo,FOB,até 30,"215610,992"
Srta. Sabrina Nunes,João Vitor da Cruz,Cirino,2025-07,Adubo Select 25kg,Entregue,VittaMais,Prazo,FOB,até 30,"129366,595"
Sra. Sophia Nogueira,Dra. Melina Leão,da Costa,2025-07,Açúcar Premium 500g,Entregue,EcoLine,Prazo,CIF,de 121 à 180,"26908,252"
Carolina Moreira,Dr. José da Cunha,Oliveira,2025-07,Milho Tradicional 1L,Entregue,PrimeFood,Prazo,CIF,de 121 à 180,"16378,936"
Dra. Heloísa Vieira,Mariane Pereira,Moura de Costela,2025-07,Café Tradicional 250ml,Entregue,VittaMais,Prazo,FOB,até 30,"212592,438"
Otto Macedo,Francisco da Rosa,Macedo,2025-07,Adubo Natural 1kg,Entregue,NovaTech,Prazo,CIF,até 30,"5391,212"
Gustavo Moura,Miguel da Mota,Silva,2025-07,Milho Refinado 500g,Entregue,EcoLine,Crédito Rural,CIF,de 31 à 60,"12863,299"
Melissa Leão,Mirella Moraes,Teixeira,2025-07,Suplemento Especial 5L,Entregue,SmartAgro,Crédito Rural,CIF,de 31 à 60,"8671,312"
Asafe da Rosa,Otávio Rodrigues,Ferreira,2025-07,Semente Integral 20kg,A Entregar,BioVida,Prazo,CIF,mais que 180,"5887,492"
Sra. Maria Luísa Fogaça,Sabrina Novaes,Souza de Cavalcante,2025-07,Arroz Extra 20kg,Entregue,TerraForte,Prazo,CIF,de 61 à 120,"28179,419"
Nicolas Castro,Dr. Samuel Abreu,Peixoto Paulista,2025-07,Soja Refinado 1L,A Entregar,PrimeFood,Prazo,FOB,mais que 180,"1290,854"
Srta. Pietra Albuquerque,Nicole Teixeira,Sampaio do Sul,2025-07,Inseticida Fortificado 1kg,Entregue,VittaMais,Crédito Rural,CIF,de 31 à 60,"11795,234"
Sr. Luiz Henrique Albuquerque,Cecilia Monteiro,Sá de Carvalho,2025-06,Ração Orgânico 1L,Entregue,NovaTech,Pagamento parcelado,CIF,de 121 à 180,"12182,958"
Sr. Davi Lucas Castro,Leandro da Luz,Novais,2025-06,Semente Extra 5L,Entregue,PrimeFood,Pagamento parcelado,CIF,de 121 à 180,"10829,296"
Heloisa Montenegro,Ravi Souza,Montenegro Verde,2025-06,Feijão Premium 25kg,Entregue,VittaMais,Pagamento parcelado,CIF,de 121 à 180,"13536,621"
Ana Cecília Fonseca,Daniel Nascimento,Teixeira,2025-07,Ração Extra 25kg,A Entregar,TerraForte,Prazo,CIF,de 31 à 60,"3374,781"
Ana Lívia Cirino,Sra. Juliana Freitas,da Conceição,2025-07,Soja Natural 25kg,Entregue,VittaMais,Prazo,CIF,mais que 180,"11099,279"
Larissa Correia,Lucca Fonseca,Sales,2025-07,Milho Refinado 5L,Entregue,BioVida,Prazo,CIF,de 121 à 180,"12076,09"
Giovanna Cavalcante,Gael da Cruz,Aparecida da Praia,2025-07,Farinha Fortificado 250ml,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"5946,172"
Sra. Alícia Cunha,Gael Monteiro,Lopes,2025-07,Semente Especial 5L,Entregue,PrimeFood,Prazo,CIF,de 31 à 60,"2702,806"
Henry Gabriel Alves,Murilo Silveira,da Rosa de Sousa,2025-07,Fertilizante Select 500g,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"10686,806"
Mirella Castro,Dra. Lunna Brito,Almeida,2025-07,Suplemento Integral 25kg,Entregue,SmartAgro,Prazo,CIF,até 30,"12299,201"
Ravi Lucca Casa Grande,Sr. José Macedo,Mendes das Flores,2025-07,Farinha Fortificado 250ml,A Entregar,VittaMais,Prazo,CIF,mais que 180,"53434,028"
Léo Barros,Benício Camargo,Azevedo,2025-07,Adubo Premium 1kg,Entregue,PrimeFood,Prazo,FOB,mais que 180,"14882,783"
Eloá Silveira,Maria Sophia Fernandes,Lima,2025-07,Farinha Premium 250ml,Entregue,BioVida,Prazo,CIF,mais que 180,"10376,326"
Manuella Albuquerque,Alexia Garcia,Brito do Campo,2025-06,Açúcar Premium 20kg,A Entregar,AgroPlus,Pagamento parcelado,CIF,de 121 à 180,"24720,269"
Dr. Marcelo Monteiro,Luiza Lopes,Sampaio das Flores,2025-06,Arroz Refinado 5L,A Entregar,BioVida,Pagamento parcelado,CIF,de 121 à 180,"5339,653"
Theo Cassiano,Eloá Barbosa,Guerra,2025-06,Soja Especial 20kg,A Entregar,EcoLine,Pagamento parcelado,CIF,de 121 à 180,"1601,896"
Sr. Rafael da Rocha,Matheus Siqueira,da Mota,2025-07,Semente Orgânico 10kg,Entregue,SkyMarket,Prazo,FOB,mais que 180,"31808,996"
Bento Pires,João Vitor Brito,Rocha,2025-07,Soja Extra 250ml,Entregue,TerraForte,Pagamento parcelado,CIF,de 61 à 120,"20221,03"
Davi Miguel Borges,Manuela Montenegro,Camargo,2025-07,Ração Refinado 500g,Entregue,EcoLine,Pagamento parcelado,CIF,de 61 à 120,"4288,784"
Allana Sousa,Emanuella Nunes,Marques,2025-07,Milho Fortificado 250ml,Entregue,EcoLine,Prazo,CIF,de 31 à 60,"115076,648"
Brenda da Cunha,Ana Júlia da Rosa,Vieira Paulista,2025-07,Herbicida Especial 1L,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"749,951"
Benício da Rosa,Henrique Martins,Brito de Lopes,2025-07,Feijão Extra 500g,Entregue,TerraForte,Prazo,CIF,de 31 à 60,"4499,708"
Pedro Henrique Souza,Maria Helena da Cunha,Fernandes,2025-07,Fertilizante Especial 5L,Entregue,VittaMais,Prazo,CIF,mais que 180,"18148,821"
Bárbara Silva,Ana Lívia Mendonça,Lima,2025-07,Açúcar Select 500g,Entregue,BlueFarm,Prazo,CIF,mais que 180,"13920,971"
Bryan Machado,Heitor Albuquerque,Pinto,2025-07,Óleo Vegetal Natural 1L,Entregue,TerraForte,Prazo,FOB,de 31 à 60,"1484,904"
Gael Henrique Sampaio,Nicole Abreu,Mendonça,2025-07,Produto Orgânico Refinado 1L,Entregue,NovaTech,Crédito Rural,CIF,de 31 à 60,"4360,217"
Dom Sá,Srta. Maria Luiza Aragão,Lopes da Mata,2025-07,Açúcar Premium 20kg,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"3412,278"
João Guilherme Santos,Ana Vitória Campos,Gonçalves,2025-07,Café Natural 500g,Entregue,NovaTech,Prazo,CIF,de 31 à 60,"3149,795"
Isabelly Correia,Yuri Vieira,Abreu,2025-07,Açúcar Refinado 250ml,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"3149,795"
Beatriz Nogueira,Luísa Barbosa,Jesus,2025-07,Adubo Extra 250ml,Entregue,AgroPlus,Crédito Rural,CIF,de 31 à 60,"5193,225"
Sophie Moura,Sr. Théo Costa,Rocha das Flores,2025-07,Fertilizante Refinado 5L,Entregue,BioVida,Crédito Rural,CIF,de 31 à 60,"741,889"
Liz Silva,Sr. Benjamin Cirino,Cavalcante das Flores,2025-07,Fertilizante Orgânico 25kg,Entregue,BlueFarm,Prazo,CIF,até 30,"26323,29"
Ravy da Mata,Rebeca Pereira,Viana,2025-07,Suplemento Extra 5L,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"227375,852"
Emanuella Sales,Otto Gomes,Aparecida do Norte,2025-07,Inseticida Especial 1L,Entregue,BlueFarm,Crédito Rural,CIF,de 31 à 60,"5605,886"
Antony Casa Grande,João Lucas Peixoto,da Mata,2025-07,Ração Fortificado 10kg,Entregue,EcoLine,Pagamento à vista,CIF,até 30,"2657,64"
Dr. Erick Pimenta,Ravi Lucca Abreu,Sousa,2025-07,Fertilizante Fortificado 1kg,Entregue,TerraForte,Pagamento à vista,CIF,até 30,"2001,432"
Sr. Benício Borges,Marina Mendonça,Araújo da Mata,2025-07,Soja Natural 250ml,Entregue,SkyMarket,Prazo,CIF,de 31 à 60,"3740,382"
Lucas Rodrigues,Milena Pacheco,Ramos,2025-07,Feijão Orgânico 1L,Entregue,BioVida,Prazo,CIF,de 121 à 180,"1612,395"
Dr. Thomas Lima,Calebe Lima,Abreu,2025-07,Inseticida Natural 10kg,Entregue,BlueFarm,Prazo,CIF,mais que 180,"3638,014"
Lavínia Pereira,Brenda Novais,Silveira de da Cruz,2025-07,Fertilizante Tradicional 250ml,Entregue,BlueFarm,Prazo,CIF,de 31 à 60,"12642,772"
Ana Vitória Pacheco,Lorenzo Fogaça,Almeida do Sul,2025-07,Semente Select 1L,A Entregar,EcoLine,Prazo,CIF,mais que 180,"1349,912"
